feature,missing_count,missing_pct
yield_moisture,1202,100.0
row_spacing,552,45.92346089850249
soil_P,526,43.760399334442596
soil_pH,472,39.267886855241265
residue_P,328,27.287853577371045
dmy_residue,226,18.80199667221298
plot_area,152,12.645590682196339
N_fertilizer,127,10.565723793677204
K_fertilizer,127,10.565723793677204
rep,99,8.236272878535774
grain_P,92,7.653910149750416
season,9,0.7487520798668885
trial_id,0,0.0
record_id,0,0.0
planting_date,0,0.0
yield,0,0.0
yield_part,0,0.0
variety,0,0.0
crop,0,0.0
is_survey,0,0.0
treatment,0,0.0
flooded,0,0.0
on_farm,0,0.0
dataset_id,0,0.0
P_fertilizer,0,0.0
irrigated,0,0.0
country,0,0.0
longitude,0,0.0
location,0,0.0
geo_from_source,0,0.0
latitude,0,0.0
